Id,Label
6001,5
6002,9
6003,0
6004,6
6005,5
6006,1
6007,5
6008,6
6009,3
6010,5
6011,7
6012,6
6013,5
6014,9
6015,6
6016,6
6017,0
6018,0
6019,5
6020,6
6021,5
6022,4
6023,0
6024,7
6025,5
6026,3
6027,5
6028,0
6029,8
6030,5
6031,3
6032,2
6033,9
6034,7
6035,7
6036,4
6037,7
6038,5
6039,7
6040,7
6041,2
6042,7
6043,0
6044,1
6045,2
6046,9
6047,5
6048,6
6049,5
6050,1
6051,0
6052,3
6053,0
6054,5
6055,1
6056,4
6057,8
6058,5
6059,3
6060,5
6061,4
6062,5
6063,6
6064,0
6065,5
6066,5
6067,5
6068,5
6069,5
6070,5
6071,0
6072,8
6073,7
6074,9
6075,2
6076,9
6077,1
6078,4
6079,5
6080,3
6081,9
6082,5
6083,1
6084,9
6085,3
6086,1
6087,1
6088,5
6089,8
6090,3
6091,7
6092,5
6093,4
6094,8
6095,4
6096,6
6097,4
6098,5
6099,6
6100,6
6101,1
6102,6
6103,4
6104,2
6105,9
6106,2
6107,7
6108,5
6109,9
6110,5
6111,8
6112,6
6113,6
6114,6
6115,0
6116,5
6117,3
6118,4
6119,9
6120,3
6121,5
6122,6
6123,8
6124,1
6125,5
6126,6
6127,7
6128,5
6129,8
6130,5
6131,5
6132,0
6133,6
6134,5
6135,5
6136,5
6137,9
6138,5
6139,7
6140,5
6141,4
6142,2
6143,6
6144,0
6145,5
6146,7
6147,5
6148,5
6149,7
6150,1
6151,5
6152,8
6153,5
6154,4
6155,3
6156,1
6157,5
6158,6
6159,2
6160,8
6161,5
6162,8
6163,3
6164,5
6165,3
6166,5
6167,3
6168,5
6169,5
6170,0
6171,1
6172,1
6173,5
6174,2
6175,2
6176,0
6177,5
6178,5
6179,6
6180,8
6181,1
6182,5
6183,5
6184,4
6185,5
6186,2
6187,2
6188,8
6189,5
6190,5
6191,5
6192,7
6193,6
6194,6
6195,6
6196,0
6197,4
6198,4
6199,6
6200,5
6201,4
6202,2
6203,1
6204,3
6205,5
6206,5
6207,9
6208,8
6209,9
6210,6
6211,5
6212,4
6213,8
6214,9
6215,5
6216,6
6217,4
6218,5
6219,4
6220,9
6221,9
6222,5
6223,3
6224,4
6225,9
6226,5
6227,8
6228,5
6229,7
6230,5
6231,0
6232,2
6233,8
6234,8
6235,5
6236,5
6237,0
6238,0
6239,0
6240,5
6241,5
6242,5
6243,0
6244,0
6245,5
6246,0
6247,5
6248,2
6249,2
6250,1
6251,4
6252,8
6253,5
6254,6
6255,2
6256,5
6257,8
6258,3
6259,5
6260,8
6261,3
6262,5
6263,1
6264,2
6265,9
6266,3
6267,5
6268,1
6269,0
6270,8
6271,7
6272,9
6273,6
6274,9
6275,2
6276,7
6277,9
6278,5
6279,0
6280,1
6281,5
6282,6
6283,2
6284,3
6285,0
6286,5
6287,5
6288,5
6289,1
6290,5
6291,8
6292,5
6293,5
6294,2
6295,5
6296,9
6297,9
6298,4
6299,2
6300,1
6301,6
6302,1
6303,6
6304,9
6305,3
6306,5
6307,9
6308,8
6309,5
6310,9
6311,6
6312,9
6313,0
6314,2
6315,4
6316,0
6317,5
6318,5
6319,1
6320,3
6321,1
6322,7
6323,0
6324,5
6325,1
6326,9
6327,1
6328,7
6329,5
6330,5
6331,9
6332,2
6333,1
6334,4
6335,7
6336,5
6337,0
6338,5
6339,0
6340,5
6341,5
6342,4
6343,5
6344,1
6345,5
6346,2
6347,5
6348,4
6349,9
6350,5
6351,2
6352,5
6353,3
6354,2
6355,5
6356,5
6357,6
6358,9
6359,6
6360,1
6361,2
6362,5
6363,9
6364,5
6365,5
6366,5
6367,5
6368,5
6369,5
6370,1
6371,5
6372,6
6373,0
6374,1
6375,6
6376,5
6377,3
6378,8
6379,5
6380,1
6381,6
6382,1
6383,3
6384,6
6385,2
6386,5
6387,5
6388,5
6389,5
6390,6
6391,3
6392,5
6393,5
6394,9
6395,5
6396,7
6397,9
6398,4
6399,2
6400,5
6401,3
6402,7
6403,8
6404,2
6405,7
6406,5
6407,3
6408,0
6409,6
6410,5
6411,5
6412,3
6413,5
6414,5
6415,2
6416,2
6417,5
6418,5
6419,5
6420,5
6421,3
6422,5
6423,1
6424,0
6425,4
6426,4
6427,2
6428,2
6429,0
6430,5
6431,5
6432,7
6433,0
6434,5
6435,5
6436,5
6437,5
6438,5
6439,7
6440,8
6441,5
6442,0
6443,9
6444,5
6445,9
6446,5
6447,9
6448,5
6449,6
6450,7
6451,1
6452,5
6453,5
6454,7
6455,5
6456,0
6457,7
6458,8
6459,2
6460,5
6461,1
6462,5
6463,5
6464,5
6465,3
6466,5
6467,0
6468,5
6469,3
6470,5
6471,5
6472,4
6473,2
6474,1
6475,8
6476,5
6477,5
6478,5
6479,6
6480,3
6481,5
6482,6
6483,3
6484,6
6485,3
6486,1
6487,6
6488,5
6489,5
6490,0
6491,4
6492,8
6493,5
6494,3
6495,3
6496,3
6497,1
6498,1
6499,6
6500,9
6501,3
6502,0
6503,6
6504,8
6505,5
6506,3
6507,6
6508,5
6509,5
6510,0
6511,4
6512,1
6513,8
6514,7
6515,4
6516,6
6517,1
6518,5
6519,6
6520,9
6521,5
6522,8
6523,5
6524,3
6525,5
6526,0
6527,5
6528,7
6529,7
6530,3
6531,6
6532,5
6533,4
6534,1
6535,4
6536,0
6537,2
6538,8
6539,0
6540,5
6541,3
6542,5
6543,0
6544,3
6545,0
6546,4
6547,8
6548,1
6549,5
6550,9
6551,1
6552,5
6553,5
6554,9
6555,5
6556,6
6557,3
6558,6
6559,9
6560,5
6561,1
6562,5
6563,9
6564,1
6565,3
6566,5
6567,1
6568,5
6569,8
6570,6
6571,1
6572,9
6573,4
6574,8
6575,5
6576,4
6577,5
6578,3
6579,9
6580,4
6581,5
6582,4
6583,9
6584,5
6585,6
6586,1
6587,1
6588,3
6589,9
6590,9
6591,5
6592,1
6593,5
6594,6
6595,5
6596,2
6597,5
6598,5
6599,5
6600,3
6601,7
