Id,Label
6001,2
6002,7
6003,2
6004,4
6005,7
6006,1
6007,5
6008,1
6009,5
6010,5
6011,5
6012,2
6013,0
6014,1
6015,1
6016,1
6017,0
6018,3
6019,1
6020,6
6021,0
6022,7
6023,0
6024,5
6025,2
6026,0
6027,4
6028,3
6029,9
6030,9
6031,5
6032,7
6033,0
6034,7
6035,5
6036,3
6037,4
6038,0
6039,1
6040,4
6041,2
6042,7
6043,0
6044,5
6045,3
6046,9
6047,1
6048,5
6049,1
6050,5
6051,0
6052,4
6053,0
6054,0
6055,3
6056,4
6057,5
6058,8
6059,5
6060,5
6061,5
6062,0
6063,2
6064,5
6065,1
6066,0
6067,7
6068,5
6069,2
6070,4
6071,0
6072,5
6073,0
6074,4
6075,1
6076,3
6077,0
6078,4
6079,0
6080,9
6081,4
6082,6
6083,1
6084,5
6085,8
6086,3
6087,6
6088,1
6089,9
6090,2
6091,1
6092,2
6093,5
6094,4
6095,1
6096,7
6097,4
6098,3
6099,6
6100,0
6101,1
6102,9
6103,2
6104,2
6105,7
6106,1
6107,1
6108,9
6109,9
6110,3
6111,2
6112,0
6113,2
6114,0
6115,8
6116,3
6117,1
6118,5
6119,1
6120,1
6121,3
6122,4
6123,0
6124,5
6125,8
6126,2
6127,5
6128,7
6129,1
6130,5
6131,7
6132,5
6133,5
6134,1
6135,4
6136,9
6137,6
6138,3
6139,4
6140,1
6141,1
6142,1
6143,6
6144,7
6145,7
6146,1
6147,9
6148,9
6149,7
6150,3
6151,0
6152,7
6153,4
6154,4
6155,3
6156,1
6157,3
6158,6
6159,1
6160,1
6161,3
6162,1
6163,6
6164,9
6165,2
6166,5
6167,3
6168,5
6169,1
6170,4
6171,1
6172,6
6173,9
6174,4
6175,1
6176,2
6177,5
6178,6
6179,1
6180,0
6181,1
6182,6
6183,1
6184,0
6185,0
6186,3
6187,5
6188,0
6189,6
6190,4
6191,4
6192,2
6193,2
6194,9
6195,4
6196,0
6197,9
6198,7
6199,5
6200,2
6201,1
6202,3
6203,5
6204,2
6205,8
6206,0
6207,5
6208,0
6209,8
6210,0
6211,9
6212,1
6213,7
6214,2
6215,2
6216,4
6217,3
6218,0
6219,5
6220,1
6221,4
6222,0
6223,3
6224,3
6225,4
6226,3
6227,1
6228,1
6229,5
6230,9
6231,5
6232,2
6233,5
6234,1
6235,3
6236,4
6237,0
6238,5
6239,1
6240,2
6241,5
6242,5
6243,5
6244,9
6245,0
6246,0
6247,9
6248,7
6249,8
6250,4
6251,9
6252,1
6253,5
6254,4
6255,5
6256,1
6257,3
6258,5
6259,1
6260,5
6261,1
6262,1
6263,1
6264,6
6265,2
6266,3
6267,4
6268,5
6269,0
6270,4
6271,5
6272,2
6273,9
6274,1
6275,4
6276,0
6277,0
6278,3
6279,0
6280,1
6281,9
6282,1
6283,3
6284,3
6285,5
6286,3
6287,6
6288,4
6289,1
6290,3
6291,7
6292,0
6293,0
6294,9
6295,1
6296,0
6297,9
6298,5
6299,0
6300,1
6301,4
6302,1
6303,4
6304,0
6305,1
6306,2
6307,4
6308,1
6309,4
6310,1
6311,7
6312,5
6313,1
6314,9
6315,2
6316,0
6317,5
6318,0
6319,1
6320,9
6321,0
6322,6
6323,9
6324,1
6325,9
6326,4
6327,1
6328,1
6329,4
6330,4
6331,9
6332,4
6333,1
6334,1
6335,6
6336,4
6337,0
6338,8
6339,0
6340,3
6341,4
6342,5
6343,4
6344,1
6345,4
6346,5
6347,5
6348,5
6349,3
6350,0
6351,7
6352,1
6353,9
6354,0
6355,0
6356,3
6357,8
6358,0
6359,0
6360,1
6361,2
6362,3
6363,5
6364,5
6365,8
6366,1
6367,1
6368,5
6369,4
6370,2
6371,5
6372,9
6373,0
6374,1
6375,0
6376,0
6377,8
6378,1
6379,9
6380,5
6381,0
6382,1
6383,3
6384,5
6385,1
6386,1
6387,0
6388,9
6389,2
6390,6
6391,5
6392,9
6393,5
6394,4
6395,8
6396,0
6397,3
6398,5
6399,6
6400,1
6401,9
6402,1
6403,9
6404,3
6405,4
6406,2
6407,8
6408,1
6409,2
6410,4
6411,0
6412,1
6413,1
6414,1
6415,4
6416,1
6417,3
6418,3
6419,0
6420,0
6421,6
6422,5
6423,9
6424,9
6425,1
6426,5
6427,4
6428,9
6429,0
6430,1
6431,5
6432,9
6433,9
6434,4
6435,7
6436,3
6437,3
6438,5
6439,1
6440,5
6441,3
6442,0
6443,1
6444,1
6445,4
6446,2
6447,2
6448,0
6449,4
6450,1
6451,1
6452,2
6453,1
6454,1
6455,0
6456,3
6457,7
6458,4
6459,4
6460,1
6461,4
6462,9
6463,1
6464,9
6465,0
6466,1
6467,0
6468,1
6469,3
6470,1
6471,9
6472,5
6473,5
6474,1
6475,1
6476,3
6477,5
6478,8
6479,2
6480,3
6481,4
6482,4
6483,1
6484,0
6485,1
6486,7
6487,9
6488,7
6489,0
6490,0
6491,9
6492,1
6493,5
6494,4
6495,2
6496,5
6497,4
6498,6
6499,2
6500,9
6501,0
6502,9
6503,0
6504,7
6505,1
6506,3
6507,6
6508,1
6509,6
6510,8
6511,8
6512,5
6513,3
6514,8
6515,9
6516,3
6517,3
6518,5
6519,7
6520,2
6521,8
6522,2
6523,1
6524,3
6525,6
6526,1
6527,8
6528,1
6529,3
6530,0
6531,5
6532,1
6533,4
6534,1
6535,9
6536,1
6537,1
6538,3
6539,3
6540,4
6541,1
6542,9
6543,0
6544,5
6545,0
6546,6
6547,3
6548,1
6549,1
6550,9
6551,1
6552,4
6553,3
6554,9
6555,3
6556,3
6557,0
6558,8
6559,5
6560,1
6561,2
6562,5
6563,1
6564,1
6565,8
6566,9
6567,1
6568,7
6569,4
6570,5
6571,9
6572,5
6573,4
6574,3
6575,4
6576,0
6577,8
6578,3
6579,4
6580,9
6581,7
6582,6
6583,3
6584,1
6585,5
6586,6
6587,5
6588,1
6589,9
6590,1
6591,3
6592,4
6593,9
6594,7
6595,7
6596,2
6597,1
6598,3
6599,8
6600,7
6601,2
6602,0
6603,3
6604,8
6605,6
6606,8
6607,4
6608,5
6609,1
6610,1
6611,7
6612,4
6613,1
6614,4
6615,8
6616,5
6617,6
6618,5
6619,4
6620,0
6621,9
6622,2
6623,9
6624,1
6625,1
6626,1
6627,0
6628,1
6629,8
6630,7
6631,2
6632,9
6633,0
6634,1
6635,2
6636,1
6637,0
6638,3
6639,1
6640,1
6641,2
6642,1
6643,4
6644,2
6645,9
6646,5
6647,0
6648,6
6649,0
6650,1
6651,9
6652,2
6653,9
6654,5
6655,1
6656,1
6657,8
6658,0
6659,2
6660,1
6661,6
6662,9
6663,6
6664,3
6665,3
6666,4
6667,3
6668,6
6669,2
6670,2
6671,2
6672,5
6673,0
6674,1
6675,9
6676,1
6677,5
6678,8
6679,3
6680,4
6681,4
6682,1
6683,5
6684,1
6685,5
6686,6
6687,9
6688,0
6689,4
6690,5
6691,9
6692,3
6693,1
6694,0
6695,7
6696,2
6697,1
6698,3
6699,5
6700,1
6701,5
6702,6
6703,1
6704,3
6705,1
6706,1
6707,8
6708,9
6709,2
6710,9
6711,2
6712,7
6713,1
6714,1
6715,9
6716,1
6717,9
6718,3
